Date,P.D,Temp
2017-01-31,17318.16625,-3.7
2017-01-31,17389.0975,-4
2017-01-31,16815.595,-4.8
2017-01-31,15769.39,-5
2017-01-31,15330.595,-5.1
2017-02-01,14875.0825,-5.7
2017-02-01,14411.02,-5.8
2017-02-01,14229.70375,-6.2
2017-02-01,14098.14625,-6
2017-02-01,14255.545,-5.7
2017-02-01,14682.96625,-5.4
2017-02-01,16013.48125,-5
2017-02-01,18407.2225,-5
2017-02-01,20391.835,-4.8
2017-02-01,20628.6475,-4.1
2017-02-01,20641.3825,-3
2017-02-01,19794.49375,-1.8
2017-02-01,19203.25,-1.1
2017-02-01,20488.585,-0.6
2017-02-01,19839.5275,-0.2
2017-02-01,19730.34625,-0.1
2017-02-01,19239.68875,0.1
2017-02-01,18836.0275,-0.7
2017-02-01,17387.725,-2.6
2017-02-01,16953.565,-3.5
2017-02-01,16399.39,-4.4
2017-02-01,16535.65,-5.4
2017-02-01,15968.50375,-6.4
2017-02-01,15533.08375,-6.9
2017-02-02,14883.25,-7.4
2017-02-02,14493.3475,-7.5
2017-02-02,14293.2325,-7.7
2017-02-02,14254.72375,-8.1
2017-02-02,14481.43375,-8.6
2017-02-02,15065.7925,-8.9
2017-02-02,16615.975,-8.9
2017-02-02,19711.075,-9.2
2017-02-02,20946.01,-9.1
2017-02-02,21070.975,-7.7
2017-02-02,20772.1975,-4.7
2017-02-02,19883.86375,-2.2
2017-02-02,19103.06875,-0.8
2017-02-02,19587.775,0.5
2017-02-02,19387.4575,1.3
2017-02-02,19448.80375,2.9
2017-02-02,19738.37875,3
2017-02-02,18945.29875,2.3
2017-02-02,17711.185,1.2
2017-02-02,17069.99125,0.4
2017-02-02,16462.435,0.3
2017-02-02,16492.4725,0.2
2017-02-02,15603.28375,0.6
2017-02-02,15256.89625,0.3
2017-02-03,14801.44,-0.3
2017-02-03,14325.655,-0.2
2017-02-03,14128.61125,0.2
2017-02-03,14109.4975,0
2017-02-03,14272.54375,-0.6
2017-02-03,14521.4275,-1.2
2017-02-03,15776.68,-1.8
2017-02-03,18151.31875,-2.1
2017-02-03,19574.75875,-2.3
2017-02-03,20115.1525,-1.5
2017-02-03,19627.24,0.7
2017-02-03,19263.65125,2.5
2017-02-03,18752.72125,4.7
2017-02-03,19109.63875,5
2017-02-03,18953.365,6
2017-02-03,19109.86375,6.5
2017-02-03,18773.6125,6.2
2017-02-03,18492.025,5.5
2017-02-03,17116.42,3.6
2017-02-03,16548.86875,2.5
2017-02-03,15987.02125,1.9
2017-02-03,16160.33875,1
